Symbol,Date,Close,High,Low,Open,Volume
,,ZWELCAST.BO,ZWELCAST.BO,ZWELCAST.BO,ZWELCAST.BO,ZWELCAST.BO
ZWELCAST,2024-12-30,1328.0,1369.9000244140625,1321.0,1321.0,392
ZWELCAST,2024-12-31,1349.0,1349.0,1326.0,1330.0,67
ZWELCAST,2025-01-01,1323.449951171875,1350.0,1320.0,1335.0,261
ZWELCAST,2025-01-02,1322.0,1371.0,1310.0,1310.0,843
ZWELCAST,2025-01-03,1330.0,1375.0,1325.0,1375.0,26
ZWELCAST,2025-01-06,1335.0,1335.0,1312.0,1325.0,210
ZWELCAST,2025-01-07,1319.25,1349.9000244140625,1310.0,1310.0,348
ZWELCAST,2025-01-08,1300.050048828125,1310.0999755859375,1300.050048828125,1310.0999755859375,255
ZWELCAST,2025-01-09,1302.300048828125,1328.9000244140625,1302.300048828125,1328.9000244140625,61
ZWELCAST,2025-01-10,1276.800048828125,1305.0,1275.0,1305.0,252
ZWELCAST,2025-01-13,1244.6500244140625,1277.050048828125,1225.0,1277.0,286
ZWELCAST,2025-01-14,1258.0,1258.0,1250.0,1250.0,2
ZWELCAST,2025-01-15,1271.949951171875,1322.0,1271.949951171875,1322.0,2
ZWELCAST,2025-01-16,1286.3499755859375,1320.0,1285.0,1320.0,102
ZWELCAST,2025-01-17,1294.550048828125,1318.0,1244.6500244140625,1318.0,11
ZWELCAST,2025-01-20,1260.199951171875,1260.199951171875,1260.199951171875,1260.199951171875,15
ZWELCAST,2025-01-21,1285.0,1320.0,1260.4000244140625,1320.0,93
ZWELCAST,2025-01-22,1289.949951171875,1290.0,1260.050048828125,1285.0,80
ZWELCAST,2025-01-23,1318.0,1318.0,1318.0,1318.0,1
ZWELCAST,2025-01-24,1307.9000244140625,1307.9000244140625,1252.0,1252.0,2
ZWELCAST,2025-01-27,1250.0,1250.0,1250.0,1250.0,134
ZWELCAST,2025-01-28,1250.0,1250.0,1250.0,1250.0,12
ZWELCAST,2025-01-29,1299.0,1299.0,1299.0,1299.0,16
ZWELCAST,2025-01-30,1289.949951171875,1299.0,1289.949951171875,1299.0,16
ZWELCAST,2025-01-31,1289.0,1289.0,1289.0,1289.0,4
ZWELCAST,2025-02-04,1285.0,1288.0,1285.0,1288.0,29
ZWELCAST,2025-02-05,1285.0,1285.0,1285.0,1285.0,1
ZWELCAST,2025-02-06,1260.0,1288.0,1260.0,1288.0,9
ZWELCAST,2025-02-07,1226.0999755859375,1226.0999755859375,1226.0999755859375,1226.0999755859375,3
ZWELCAST,2025-02-10,1235.0999755859375,1247.800048828125,1203.0,1203.0,107
ZWELCAST,2025-02-11,1222.0,1222.0,1187.1500244140625,1187.1500244140625,81
ZWELCAST,2025-02-12,1209.800048828125,1219.800048828125,1165.050048828125,1219.800048828125,34
ZWELCAST,2025-02-13,1260.0,1280.0,1260.0,1280.0,21
ZWELCAST,2025-02-14,1199.0,1279.800048828125,1150.0,1279.800048828125,41
ZWELCAST,2025-02-18,1141.0,1151.0,1099.0,1099.0,76
ZWELCAST,2025-02-19,1112.4000244140625,1130.0,1080.0,1080.0,228
ZWELCAST,2025-02-20,1147.0999755859375,1149.949951171875,1113.0,1113.050048828125,151
ZWELCAST,2025-02-21,1174.9000244140625,1190.0,1147.0999755859375,1147.0999755859375,61
ZWELCAST,2025-02-24,1164.300048828125,1174.9000244140625,1150.050048828125,1174.9000244140625,26
ZWELCAST,2025-02-27,1151.550048828125,1230.0,1151.550048828125,1230.0,94
ZWELCAST,2025-02-28,1147.9000244140625,1172.0,1061.0,1061.0,225
ZWELCAST,2025-03-03,1148.0,1148.0,1120.0999755859375,1147.9000244140625,58
ZWELCAST,2025-03-04,1111.0,1148.0,1111.0,1148.0,60
ZWELCAST,2025-03-05,1219.9000244140625,1222.0,1219.9000244140625,1222.0,61
ZWELCAST,2025-03-06,1244.949951171875,1254.0,1162.050048828125,1219.9000244140625,91
ZWELCAST,2025-03-07,1202.800048828125,1268.800048828125,1167.0,1167.0,401
ZWELCAST,2025-03-10,1174.199951171875,1175.0,1174.0999755859375,1174.0999755859375,124
ZWELCAST,2025-03-11,1150.0,1174.199951171875,1150.0,1174.199951171875,62
ZWELCAST,2025-03-12,1140.0,1155.0,1120.0,1155.0,142
ZWELCAST,2025-03-13,1140.0,1149.8499755859375,1105.0,1105.0,271
ZWELCAST,2025-03-17,1115.5,1155.0,1105.25,1141.050048828125,91
ZWELCAST,2025-03-18,1125.3499755859375,1170.0,1125.3499755859375,1170.0,27
ZWELCAST,2025-03-19,1156.75,1218.0,1150.0999755859375,1180.0,114
ZWELCAST,2025-03-21,1158.0,1182.050048828125,1151.0,1155.0,200
ZWELCAST,2025-03-24,1150.0999755859375,1209.949951171875,1138.0999755859375,1138.0999755859375,120
ZWELCAST,2025-03-25,1145.050048828125,1199.5,1145.0,1199.5,231
ZWELCAST,2025-03-26,1140.0,1150.0,1140.0,1150.0,75
ZWELCAST,2025-03-27,1150.0,1150.0,1146.0,1150.0,105
ZWELCAST,2025-03-28,1143.949951171875,1155.75,1124.3499755859375,1155.75,62
ZWELCAST,2025-04-01,1179.949951171875,1179.949951171875,1102.0,1137.0,67
ZWELCAST,2025-04-02,1159.199951171875,1197.0,1150.0,1183.949951171875,271
ZWELCAST,2025-04-04,1187.5,1187.5,1122.050048828125,1162.0,42
ZWELCAST,2025-04-07,1130.0,1217.199951171875,1101.050048828125,1217.199951171875,123
ZWELCAST,2025-04-08,1170.0,1170.0,1105.0999755859375,1105.0999755859375,29
ZWELCAST,2025-04-09,1129.0999755859375,1170.0,1111.050048828125,1170.0,30
ZWELCAST,2025-04-11,1140.0,1140.0,1140.0,1140.0,1
ZWELCAST,2025-04-16,1172.5999755859375,1175.0,1125.0999755859375,1125.0999755859375,76
ZWELCAST,2025-04-17,1163.5,1319.0,1163.5,1319.0,159
ZWELCAST,2025-04-21,1145.5,1163.0,1145.5,1163.0,51
ZWELCAST,2025-04-22,1198.0,1200.0,1145.5,1145.5,86
ZWELCAST,2025-04-23,1168.0,1200.0,1121.050048828125,1200.0,15
ZWELCAST,2025-04-24,1150.0,1150.0,1150.0,1150.0,10
ZWELCAST,2025-04-25,1113.3499755859375,1150.0,1088.0,1150.0,84
ZWELCAST,2025-04-28,1130.050048828125,1170.0,1130.050048828125,1170.0,7
ZWELCAST,2025-04-29,1141.199951171875,1180.0,1107.0,1180.0,149
ZWELCAST,2025-04-30,1057.199951171875,1099.949951171875,1050.0,1088.75,218
ZWELCAST,2025-05-02,1070.199951171875,1100.0,1011.0,1011.0,259
ZWELCAST,2025-05-05,1081.9000244140625,1180.0,1070.199951171875,1070.199951171875,57
ZWELCAST,2025-05-06,1089.949951171875,1130.0,1089.949951171875,1130.0,71
ZWELCAST,2025-05-07,1090.0,1095.0,1085.0,1095.0,10
ZWELCAST,2025-05-08,1055.050048828125,1114.9000244140625,1055.050048828125,1114.9000244140625,50
ZWELCAST,2025-05-09,1029.050048828125,1029.050048828125,1016.5,1016.5,12
ZWELCAST,2025-05-12,1080.0,1089.949951171875,1029.25,1029.25,166
ZWELCAST,2025-05-13,1054.0,1074.949951171875,1049.949951171875,1050.0,91
ZWELCAST,2025-05-14,1052.0,1054.0,1045.0,1054.0,73
ZWELCAST,2025-05-15,1063.5,1083.949951171875,1022.0499877929688,1022.0499877929688,325
ZWELCAST,2025-05-19,1104.0999755859375,1105.5,1075.050048828125,1099.5,232
ZWELCAST,2025-05-20,1100.949951171875,1104.1500244140625,1100.0,1104.0999755859375,97
ZWELCAST,2025-05-21,1321.0999755859375,1321.0999755859375,1101.0,1101.0,3455
ZWELCAST,2025-05-22,1275.25,1385.800048828125,1239.9000244140625,1368.800048828125,1782
ZWELCAST,2025-05-23,1251.0999755859375,1285.0,1250.0999755859375,1280.0,127
ZWELCAST,2025-05-26,1236.0,1265.0,1202.0,1251.1500244140625,151
ZWELCAST,2025-05-27,1234.0999755859375,1279.949951171875,1041.0,1248.0,140
ZWELCAST,2025-05-28,1230.0,1234.0999755859375,1229.0,1234.0999755859375,17
ZWELCAST,2025-05-29,1200.0,1239.5,1160.0,1230.0,57
ZWELCAST,2025-05-30,1229.949951171875,1230.0,1229.949951171875,1230.0,7
ZWELCAST,2025-06-02,1199.949951171875,1215.0,1199.949951171875,1215.0,97
ZWELCAST,2025-06-03,1203.0,1219.9000244140625,1199.0,1199.0,80
ZWELCAST,2025-06-04,1200.0,1200.0,1145.300048828125,1145.300048828125,4
ZWELCAST,2025-06-05,1246.6500244140625,1298.949951171875,1245.0,1245.0,273
ZWELCAST,2025-06-06,1233.0,1280.0,1220.0,1220.0,139
ZWELCAST,2025-06-09,1274.949951171875,1274.949951171875,1239.9000244140625,1239.9000244140625,109
ZWELCAST,2025-06-10,1227.699951171875,1251.0,1216.0,1216.0,7
ZWELCAST,2025-06-11,1259.300048828125,1277.949951171875,1252.050048828125,1269.949951171875,122
ZWELCAST,2025-06-12,1233.0,1273.800048828125,1233.0,1273.800048828125,40
ZWELCAST,2025-06-13,1230.0,1233.0,1203.0,1233.0,45
ZWELCAST,2025-06-16,1225.0,1225.0,1225.0,1225.0,1
ZWELCAST,2025-06-17,1214.25,1299.5,1210.050048828125,1277.0,243
ZWELCAST,2025-06-18,1202.800048828125,1279.800048828125,1160.199951171875,1279.800048828125,287
ZWELCAST,2025-06-19,1228.550048828125,1260.0,1140.199951171875,1260.0,59
ZWELCAST,2025-06-20,1185.1500244140625,1207.0,1101.0999755859375,1150.0,380
ZWELCAST,2025-06-23,1190.949951171875,1191.050048828125,1190.949951171875,1191.050048828125,3
ZWELCAST,2025-06-24,1215.0,1215.0,1152.0,1206.0,56
ZWELCAST,2025-06-25,1148.550048828125,1179.5,1131.4000244140625,1170.0,226
ZWELCAST,2025-06-26,1198.0,1199.0,1197.0,1199.0,2
ZWELCAST,2025-06-27,1153.300048828125,1172.0,1150.0,1172.0,286
ZWELCAST,2025-06-30,1159.949951171875,1170.050048828125,1130.0,1155.0,317
ZWELCAST,2025-07-01,1317.300048828125,1349.0,1164.5999755859375,1164.5999755859375,2442
ZWELCAST,2025-07-02,1304.8499755859375,1349.9000244140625,1276.0999755859375,1349.9000244140625,500
ZWELCAST,2025-07-03,1334.0999755859375,1344.949951171875,1300.5,1305.0,118
ZWELCAST,2025-07-04,1320.0,1350.0,1291.5,1344.949951171875,328
ZWELCAST,2025-07-07,1278.050048828125,1318.949951171875,1276.050048828125,1300.0,23
ZWELCAST,2025-07-08,1255.050048828125,1295.0,1247.5,1275.0,59
ZWELCAST,2025-07-09,1256.0,1256.0,1248.0,1248.0,12
ZWELCAST,2025-07-10,1262.0999755859375,1297.0,1262.050048828125,1296.0,35
ZWELCAST,2025-07-11,1251.0,1275.0,1251.0,1275.0,5
ZWELCAST,2025-07-14,1287.0,1304.0,1251.0,1251.0,199
ZWELCAST,2025-07-15,1274.949951171875,1279.0,1246.0,1279.0,14
ZWELCAST,2025-07-16,1274.9000244140625,1274.9000244140625,1274.9000244140625,1274.9000244140625,2
ZWELCAST,2025-07-17,1204.949951171875,1274.800048828125,1150.050048828125,1274.800048828125,521
ZWELCAST,2025-07-18,1200.0,1250.050048828125,1180.050048828125,1250.050048828125,78
ZWELCAST,2025-07-21,1159.8499755859375,1200.0,1153.0,1200.0,102
ZWELCAST,2025-07-22,1138.0999755859375,1157.0,1115.25,1155.0,138
ZWELCAST,2025-07-23,1155.0,1165.9000244140625,1154.5,1165.9000244140625,66
ZWELCAST,2025-07-25,1150.0,1150.0,1101.0,1101.0,61
ZWELCAST,2025-07-28,1150.0,1150.0,1150.0,1150.0,51
ZWELCAST,2025-07-30,1155.699951171875,1155.699951171875,1100.0,1150.0,81
ZWELCAST,2025-07-31,1155.699951171875,1155.699951171875,1155.699951171875,1155.699951171875,20
ZWELCAST,2025-08-01,1199.0,1199.0,1155.699951171875,1155.699951171875,41
ZWELCAST,2025-08-04,1150.1500244140625,1329.0,1100.0,1329.0,70
ZWELCAST,2025-08-05,1131.550048828125,1184.9000244140625,1131.550048828125,1150.1500244140625,102
ZWELCAST,2025-08-06,1123.8499755859375,1190.0,1100.5,1111.550048828125,774
ZWELCAST,2025-08-07,1132.6500244140625,1140.0,1090.0,1120.0,141
ZWELCAST,2025-08-08,1116.300048828125,1130.949951171875,1100.0,1121.0,82
ZWELCAST,2025-08-11,1148.0,1170.0,1104.0,1116.300048828125,46
ZWELCAST,2025-08-12,1187.0,1187.0,1187.0,1187.0,1
ZWELCAST,2025-08-13,1114.949951171875,1180.0,1100.0,1116.0,55
ZWELCAST,2025-08-14,1121.0,1165.0,1121.0,1165.0,18
ZWELCAST,2025-08-18,1123.0,1123.0,1121.0,1121.0,18
ZWELCAST,2025-08-19,1129.949951171875,1129.949951171875,1100.0,1100.0,18
ZWELCAST,2025-08-20,1127.9000244140625,1127.9000244140625,1102.0,1110.0999755859375,114
ZWELCAST,2025-08-21,1127.0,1150.0,1127.0,1127.0,140
ZWELCAST,2025-08-22,1111.0999755859375,1127.0,1111.0999755859375,1127.0,32
ZWELCAST,2025-08-25,1091.550048828125,1111.0999755859375,1079.0,1111.0999755859375,575
ZWELCAST,2025-08-26,1092.0,1097.0,1057.0,1057.0,34
ZWELCAST,2025-08-28,1071.300048828125,1091.949951171875,1071.300048828125,1091.949951171875,15
ZWELCAST,2025-08-29,1041.0,1087.0,1040.0,1071.0,146
ZWELCAST,2025-09-01,1050.0,1050.0,1050.0,1050.0,7
ZWELCAST,2025-09-02,1053.0,1100.0,1045.0,1069.5,110
ZWELCAST,2025-09-03,1051.0,1070.0,1010.2999877929688,1069.0,129
ZWELCAST,2025-09-04,1080.0,1100.0,1042.0,1069.0,139
ZWELCAST,2025-09-05,1108.0,1119.949951171875,1080.0,1080.0,34
ZWELCAST,2025-09-08,1110.0,1110.0,1085.0,1085.0,2
ZWELCAST,2025-09-09,1098.9000244140625,1098.9000244140625,1098.9000244140625,1098.9000244140625,1
ZWELCAST,2025-09-10,1070.25,1098.9000244140625,1070.0,1098.9000244140625,129
ZWELCAST,2025-09-11,1050.1500244140625,1070.25,1050.1500244140625,1070.25,127
ZWELCAST,2025-09-12,1096.9000244140625,1096.9000244140625,1096.9000244140625,1096.9000244140625,1
ZWELCAST,2025-09-16,1092.0,1092.0,1025.3499755859375,1025.3499755859375,142
ZWELCAST,2025-09-17,1047.300048828125,1087.9000244140625,1040.0,1050.0,43
ZWELCAST,2025-09-18,1095.949951171875,1095.949951171875,1047.300048828125,1047.300048828125,45
ZWELCAST,2025-09-19,1090.0,1090.0,1090.0,1090.0,3
ZWELCAST,2025-09-23,1058.4000244140625,1087.0,1025.0,1087.0,192
ZWELCAST,2025-09-24,1073.0,1073.0,1036.0,1048.0,36
ZWELCAST,2025-09-25,1054.449951171875,1069.949951171875,1030.0,1069.949951171875,30
ZWELCAST,2025-09-26,1044.0,1053.9000244140625,1044.0,1053.9000244140625,39
ZWELCAST,2025-09-29,1043.5,1043.5,970.0,1031.300048828125,93
ZWELCAST,2025-09-30,1042.949951171875,1042.949951171875,1040.0,1040.0,7
ZWELCAST,2025-10-01,1048.4000244140625,1058.0,1035.0,1058.0,9
ZWELCAST,2025-10-03,1049.949951171875,1050.0,1049.949951171875,1050.0,6
ZWELCAST,2025-10-06,1023.0499877929688,1055.0,1021.2999877929688,1049.9000244140625,63
ZWELCAST,2025-10-07,1040.0,1050.0,1020.0,1025.5,127
ZWELCAST,2025-10-08,1039.550048828125,1039.5999755859375,1039.550048828125,1039.5999755859375,3
ZWELCAST,2025-10-09,1039.0,1044.699951171875,1014.9000244140625,1044.699951171875,151
ZWELCAST,2025-10-10,1030.0,1039.0,970.0999755859375,1016.2999877929688,118
ZWELCAST,2025-10-13,994.0499877929688,1003.2999877929688,976.2999877929688,1003.2999877929688,81
ZWELCAST,2025-10-14,1034.0,1034.0,980.0,999.0,35
ZWELCAST,2025-10-15,990.0,1032.0,990.0,1032.0,94
ZWELCAST,2025-10-16,1009.0,1060.0,985.0499877929688,990.0,113
ZWELCAST,2025-10-17,971.5499877929688,1010.0,970.0,1010.0,161
ZWELCAST,2025-10-20,969.9000244140625,988.0,950.0,988.0,132
ZWELCAST,2025-10-21,950.0,952.3499755859375,950.0,952.3499755859375,366
ZWELCAST,2025-10-23,950.0,951.0,945.0,950.0,370
ZWELCAST,2025-10-24,948.0,950.0,933.2999877929688,950.0,221
ZWELCAST,2025-10-27,932.2999877929688,947.0,932.2999877929688,947.0,68
ZWELCAST,2025-10-28,943.4500122070312,949.7999877929688,934.2999877929688,945.5999755859375,133
ZWELCAST,2025-10-29,932.4000244140625,945.9500122070312,932.4000244140625,943.4000244140625,55
ZWELCAST,2025-10-30,942.3499755859375,942.7000122070312,921.0,923.2999877929688,74
ZWELCAST,2025-10-31,930.0,942.2999877929688,929.0,942.2999877929688,9
ZWELCAST,2025-11-03,939.0499877929688,1030.0,922.2999877929688,925.2999877929688,230
ZWELCAST,2025-11-04,949.7000122070312,956.0,940.0,956.0,183
ZWELCAST,2025-11-06,957.5,1000.0,944.0,945.0,52
ZWELCAST,2025-11-07,948.0,969.6500244140625,906.0,944.0,116
