Symbol,Date,Close,High,Low,Open,Volume
,,SEIL.BO,SEIL.BO,SEIL.BO,SEIL.BO,SEIL.BO
SEIL,2024-12-30,139.10000610351562,146.39999389648438,139.10000610351562,146.39999389648438,5806
SEIL,2024-12-31,132.14999389648438,136.0,132.14999389648438,133.10000610351562,33207
SEIL,2025-01-01,132.64999389648438,134.60000610351562,125.55000305175781,130.89999389648438,83269
SEIL,2025-01-02,126.75,133.3000030517578,126.1500015258789,133.3000030517578,22194
SEIL,2025-01-03,121.69999694824219,129.5,120.5,126.0,20560
SEIL,2025-01-06,117.80000305175781,126.69999694824219,116.25,121.44999694824219,39900
SEIL,2025-01-07,112.44999694824219,119.0,111.94999694824219,118.80000305175781,18757
SEIL,2025-01-08,106.94999694824219,114.80000305175781,106.8499984741211,114.80000305175781,13722
SEIL,2025-01-09,103.75,109.30000305175781,102.0999984741211,106.94999694824219,32574
SEIL,2025-01-10,107.80000305175781,108.9000015258789,105.0,105.8499984741211,679702
SEIL,2025-01-13,113.1500015258789,113.1500015258789,105.05000305175781,109.94999694824219,47339
SEIL,2025-01-14,118.80000305175781,118.80000305175781,107.55000305175781,115.44999694824219,200449
SEIL,2025-01-15,124.69999694824219,124.69999694824219,121.5,123.75,54798
SEIL,2025-01-16,130.10000610351562,130.89999389648438,120.25,130.85000610351562,159956
SEIL,2025-01-17,136.1999969482422,136.60000610351562,124.0,129.89999389648438,176433
SEIL,2025-01-20,142.9499969482422,143.0,138.0500030517578,141.6999969482422,50785
SEIL,2025-01-21,148.39999389648438,149.9499969482422,140.0500030517578,145.85000610351562,45583
SEIL,2025-01-22,143.4499969482422,154.89999389648438,141.0,148.60000610351562,19364
SEIL,2025-01-23,136.3000030517578,140.3000030517578,136.3000030517578,138.0500030517578,12139
SEIL,2025-01-24,129.5,129.5,129.5,129.5,1298
SEIL,2025-01-27,123.05000305175781,123.05000305175781,123.05000305175781,123.05000305175781,3093
SEIL,2025-01-28,116.9000015258789,116.9000015258789,116.9000015258789,116.9000015258789,743
SEIL,2025-01-29,122.69999694824219,122.69999694824219,118.0,118.0,873595
SEIL,2025-01-30,128.25,128.8000030517578,120.0999984741211,128.5,20485
SEIL,2025-01-31,127.75,131.6999969482422,122.0,127.0,649149
SEIL,2025-02-01,127.69999694824219,133.14999389648438,125.19999694824219,133.14999389648438,4785
SEIL,2025-02-03,121.3499984741211,126.44999694824219,121.3499984741211,126.44999694824219,5773
SEIL,2025-02-04,120.05000305175781,123.94999694824219,115.30000305175781,123.3499984741211,14078
SEIL,2025-02-05,117.80000305175781,122.5,114.05000305175781,117.0,17967
SEIL,2025-02-06,117.8499984741211,124.69999694824219,116.19999694824219,124.69999694824219,7372
SEIL,2025-02-07,111.80000305175781,121.30000305175781,110.0,121.30000305175781,5706
SEIL,2025-02-10,109.44999694824219,111.75,105.5,105.5,7830
SEIL,2025-02-11,99.80000305175781,113.4000015258789,98.55000305175781,113.0,33968
SEIL,2025-02-12,100.5,103.69999694824219,90.0,90.0,12534
SEIL,2025-02-13,103.55000305175781,106.0,100.0999984741211,100.0999984741211,2672
SEIL,2025-02-14,96.6500015258789,107.1500015258789,95.0,104.0,5770
SEIL,2025-02-17,98.19999694824219,104.30000305175781,98.0,98.0,7051
SEIL,2025-02-18,91.8499984741211,108.0,88.4000015258789,108.0,4802
SEIL,2025-02-19,89.3499984741211,95.0,82.75,91.8499984741211,23073
SEIL,2025-02-20,89.0,96.5,87.0,96.5,12948
SEIL,2025-02-21,91.6500015258789,97.9000015258789,84.9000015258789,90.0,15382
SEIL,2025-02-24,92.5,98.44999694824219,91.0,98.44999694824219,5952
SEIL,2025-02-25,87.80000305175781,95.69999694824219,87.1500015258789,95.69999694824219,6737
SEIL,2025-02-27,92.5,95.0,87.0999984741211,88.0,6582
SEIL,2025-02-28,86.0999984741211,94.8499984741211,85.4000015258789,94.8499984741211,8944
SEIL,2025-03-03,79.83000183105469,89.9000015258789,78.0,89.9000015258789,17006
SEIL,2025-03-04,80.94999694824219,82.9000015258789,78.05000305175781,78.05000305175781,19987
SEIL,2025-03-05,81.5,84.69000244140625,79.98999786376953,84.69000244140625,15687
SEIL,2025-03-06,85.20999908447266,88.0,81.01000213623047,84.4000015258789,683521
SEIL,2025-03-07,93.7300033569336,93.7300033569336,87.0,88.0,393194
SEIL,2025-03-10,99.41999816894531,103.0999984741211,97.05000305175781,103.0999984741211,42831
SEIL,2025-03-11,92.75,99.44999694824219,90.0,99.41999816894531,12597
SEIL,2025-03-12,90.0,95.38999938964844,90.0,92.29000091552734,2285
SEIL,2025-03-13,87.61000061035156,94.0,86.51000213623047,93.5999984741211,218351
SEIL,2025-03-17,82.61000061035156,91.0,79.05000305175781,91.0,29479
SEIL,2025-03-18,82.01000213623047,86.25,79.0,86.25,32289
SEIL,2025-03-19,79.88999938964844,83.44000244140625,79.0,82.01000213623047,70637
SEIL,2025-03-20,81.86000061035156,84.97000122070312,79.0,83.70999908447266,37303
SEIL,2025-03-21,84.5,89.88999938964844,81.86000061035156,89.88999938964844,57192
SEIL,2025-03-24,85.62999725341797,89.9800033569336,83.0,89.9800033569336,31951
SEIL,2025-03-25,87.4800033569336,89.38999938964844,85.98999786376953,89.3499984741211,14738
SEIL,2025-03-26,85.98999786376953,91.01000213623047,85.0,90.20999908447266,8251
SEIL,2025-03-27,83.52999877929688,90.5,83.05000305175781,87.0,107608
SEIL,2025-03-28,85.58999633789062,89.5,81.88999938964844,83.55999755859375,100401
