Date,Sector,Sector_Return
2014-12-29,Automobile and Auto Components,0.005912929205544804
2014-12-29,Capital Goods,0.01789097533315204
2014-12-29,Chemicals,0.02923191294061369
2014-12-29,Construction,0.023463958949416112
2014-12-29,Construction Materials,0.015276275747216649
2014-12-29,Consumer Durables,0.02825786542959531
2014-12-29,Consumer Services,-0.017613411536551198
2014-12-29,Diversified,0.0017605562303886295
2014-12-29,Fast Moving Consumer Goods,0.009155843844827307
2014-12-29,Financial Services,0.017215072555716315
2014-12-29,Healthcare,0.003147021457849451
2014-12-29,Information Technology,0.010462899013880493
2014-12-29,Media Entertainment & Publication,-0.002989522390274133
2014-12-29,Metals & Mining,0.022657514519794093
2014-12-29,Oil Gas & Consumable Fuels,0.006362755761861066
2014-12-29,Power,0.010320695895734368
2014-12-29,Realty,0.0009326068461164556
2014-12-29,Services,0.014890956949700735
2014-12-29,Telecommunication,0.03566824510205659
2014-12-29,Textiles,0.04285651407217318
2015-01-05,Automobile and Auto Components,-0.0010854386901456787
2015-01-05,Capital Goods,-0.017016266732710523
2015-01-05,Chemicals,-0.03497081845450339
2015-01-05,Construction,-0.03375936850416768
2015-01-05,Construction Materials,-0.020113144853778495
2015-01-05,Consumer Durables,0.017900782148006722
2015-01-05,Consumer Services,-0.0030344556298715665
2015-01-05,Diversified,-0.023494376396714332
2015-01-05,Fast Moving Consumer Goods,0.029785068540146363
2015-01-05,Financial Services,-0.02972737770228227
2015-01-05,Healthcare,0.0022051246679172546
2015-01-05,Information Technology,-0.009767816746699536
2015-01-05,Media Entertainment & Publication,-0.050057554014113874
2015-01-05,Metals & Mining,-0.04829884994494252
2015-01-05,Oil Gas & Consumable Fuels,-0.004635188901762624
2015-01-05,Power,-0.02270869358527834
2015-01-05,Realty,-0.012472977243356468
2015-01-05,Services,0.011334541313780493
2015-01-05,Telecommunication,-0.06310913544548702
2015-01-05,Textiles,-0.06695708220719643
2015-01-12,Automobile and Auto Components,0.03919730301700526
2015-01-12,Capital Goods,0.030978833855095797
2015-01-12,Chemicals,0.0587204726094922
2015-01-12,Construction,0.04825533996833095
2015-01-12,Construction Materials,0.09424126922819082
2015-01-12,Consumer Durables,0.02377702515806537
2015-01-12,Consumer Services,-0.021929615808030815
2015-01-12,Diversified,0.05493574916966297
2015-01-12,Fast Moving Consumer Goods,0.0385364130447511
2015-01-12,Financial Services,0.03098980167763389
2015-01-12,Healthcare,0.007451012024508806
2015-01-12,Information Technology,0.015811162333303395
2015-01-12,Media Entertainment & Publication,0.09901085663011912
2015-01-12,Metals & Mining,-0.04122725010193101
2015-01-12,Oil Gas & Consumable Fuels,-0.005363657128605372
2015-01-12,Power,0.027256690900897215
2015-01-12,Realty,0.058024075897766404
2015-01-12,Services,0.009066396640225342
2015-01-12,Telecommunication,0.02112424151610416
2015-01-12,Textiles,0.028932697595889165
2015-01-19,Automobile and Auto Components,0.011370738563295572
2015-01-19,Capital Goods,0.010613705522250475
2015-01-19,Chemicals,-0.01734798464013789
2015-01-19,Construction,0.050438906199431845
2015-01-19,Construction Materials,0.04183565004671493
2015-01-19,Consumer Durables,0.01912020388401666
2015-01-19,Consumer Services,0.013493124854115753
2015-01-19,Diversified,0.00827213237248296
2015-01-19,Fast Moving Consumer Goods,-0.0036758745721834347
2015-01-19,Financial Services,0.030394591049441633
2015-01-19,Healthcare,0.042238952058586125
2015-01-19,Information Technology,0.004990343757591857
2015-01-19,Media Entertainment & Publication,-0.007370218334009972
2015-01-19,Metals & Mining,0.03791491036858154
2015-01-19,Oil Gas & Consumable Fuels,0.013646940124973823
2015-01-19,Power,0.030953209358864114
2015-01-19,Realty,0.03717391910661885
2015-01-19,Services,0.02197138752942428
2015-01-19,Telecommunication,0.1104772701268033
2015-01-19,Textiles,0.015097049078866217
2015-01-26,Automobile and Auto Components,0.009422019321203024
2015-01-26,Capital Goods,0.019973180844267302
2015-01-26,Chemicals,0.006734190356634175
2015-01-26,Construction,0.007398979231689081
2015-01-26,Construction Materials,0.001751944061787144
2015-01-26,Consumer Durables,0.01037336820450206
2015-01-26,Consumer Services,0.01744405081748977
2015-01-26,Diversified,-0.0038773351930143133
2015-01-26,Fast Moving Consumer Goods,0.00015808377289645858
2015-01-26,Financial Services,-0.027065105351741708
2015-01-26,Healthcare,0.010563951142328333
2015-01-26,Information Technology,0.001485924169087887
2015-01-26,Media Entertainment & Publication,-0.020492353672576746
2015-01-26,Metals & Mining,-0.006309235467506391
2015-01-26,Oil Gas & Consumable Fuels,0.012866053611787028
2015-01-26,Power,0.010118677847003682
2015-01-26,Realty,0.05219383935293052
2015-01-26,Services,-0.0035683827267848833
2015-01-26,Telecommunication,-0.07021962947751145
2015-01-26,Textiles,0.008554691290868688
2015-02-02,Automobile and Auto Components,-0.04797836308952804
2015-02-02,Capital Goods,-0.019759598265438525
2015-02-02,Chemicals,0.005959699929727304
2015-02-02,Construction,-0.01434751063884036
2015-02-02,Construction Materials,-0.023512127214973352
2015-02-02,Consumer Durables,-0.043076504173157865
2015-02-02,Consumer Services,-0.003373265027381929
2015-02-02,Diversified,-0.03759098678157664
2015-02-02,Fast Moving Consumer Goods,0.005476273340464774
2015-02-02,Financial Services,-0.05093826790876019
2015-02-02,Healthcare,-0.024461817203105425
2015-02-02,Information Technology,0.03938234894556894
2015-02-02,Media Entertainment & Publication,-0.044780226488582944
2015-02-02,Metals & Mining,-0.012300367251718899
2015-02-02,Oil Gas & Consumable Fuels,-0.007493014607019904
2015-02-02,Power,-0.05173065193282885
2015-02-02,Realty,-0.04339677588317676
2015-02-02,Services,-0.07649049382493836
2015-02-02,Telecommunication,0.005032343442315407
2015-02-02,Textiles,-0.0059086976114943075
2015-02-09,Automobile and Auto Components,0.05053202600034852
2015-02-09,Capital Goods,0.06296396011799735
2015-02-09,Chemicals,0.03659221190898805
2015-02-09,Construction,0.002860994212246764
2015-02-09,Construction Materials,0.04796868521650573
2015-02-09,Consumer Durables,0.03768467042818593
2015-02-09,Consumer Services,0.012992841558050257
